RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
65,70,inferiortemporal,left,12.1,12.1,1
29,29,inferiortemporal,right,12.61,12.61,2
61,66,fusiform,left,12.9,12.9,3
66,71,middletemporal,left,13.05,13.05,4
30,30,middletemporal,right,13.48,13.48,5
25,25,fusiform,right,13.58,13.58,6
63,68,entorhinal,left,13.85,13.85,7
67,72,bankssts,left,14.21,14.21,8
31,31,bankssts,right,14.76,14.76,9
68,73,superiortemporal,left,15.93,15.93,10
27,27,entorhinal,right,16.05,16.05,11
19,19,inferiorparietal,right,16.11,16.11,12
55,60,inferiorparietal,left,16.36,16.36,13
32,32,superiortemporal,right,16.63,16.63,14
62,67,parahippocampal,left,16.84,16.84,15
56,61,precuneus,left,17.62,17.62,16
72,82,Left-Amygdala,left,17.72,17.72,17
53,58,supramarginal,left,17.89,17.89,18
20,20,precuneus,right,17.98,17.98,19
23,23,lateraloccipital,right,18.02,18.02,20
59,64,lateraloccipital,left,18.05,18.05,21
26,26,parahippocampal,right,18.2,18.2,22
17,17,supramarginal,right,18.45,18.45,23
64,69,temporalpole,left,18.51,18.51,24
18,18,superiorparietal,right,18.82,18.82,25
54,59,superiorparietal,left,19.14,19.14,26
36,41,Right-Amygdala,right,19.2,19.2,27
28,28,temporalpole,right,19.88,19.88,28
51,56,isthmuscingulate,left,20.2,20.2,29
43,48,rostralmiddlefrontal,left,20.4,20.4,30
60,65,lingual,left,20.57,20.57,31
7,7,rostralmiddlefrontal,right,21.14,21.14,32
15,15,isthmuscingulate,right,21.75,21.75,33
24,24,lingual,right,21.8,21.8,34
70,75,insula,left,21.88,21.88,35
41,46,parstriangularis,left,21.97,21.97,36
42,47,parsopercularis,left,22.01,22.01,37
71,81,Left-Hippocampus,left,22.06,22.06,38
35,40,Right-Hippocampus,right,22.14,22.14,39
45,50,caudalmiddlefrontal,left,22.43,22.43,40
52,57,postcentral,left,22.65,22.65,41
34,34,insula,right,22.66,22.66,42
44,49,superiorfrontal,left,22.79,22.79,43
14,14,posteriorcingulate,right,23.07,23.07,44
8,8,superiorfrontal,right,23.08,23.08,45
50,55,posteriorcingulate,left,23.08,23.08,46
37,42,lateralorbitofrontal,left,23.11,23.11,47
16,16,postcentral,right,23.26,23.26,48
1,1,lateralorbitofrontal,right,23.35,23.35,49
58,63,pericalcarine,left,23.52,23.52,50
5,5,parstriangularis,right,23.65,23.65,51
9,9,caudalmiddlefrontal,right,23.93,23.93,52
6,6,parsopercularis,right,23.95,23.95,53
46,51,precentral,left,24.09,24.09,54
57,62,cuneus,left,24.47,24.47,55
69,74,transversetemporal,left,24.78,24.78,56
22,22,pericalcarine,right,24.94,24.94,57
13,13,caudalanteriorcingulate,right,25.05,25.05,58
11,11,paracentral,right,25.09,25.09,59
12,12,rostralanteriorcingulate,right,25.25,25.25,60
48,53,rostralanteriorcingulate,left,25.34,25.34,61
49,54,caudalanteriorcingulate,left,25.34,25.34,62
2,2,parsorbitalis,right,25.35,25.35,63
21,21,cuneus,right,25.38,25.38,64
10,10,precentral,right,25.45,25.45,65
4,4,medialorbitofrontal,right,25.52,25.52,66
33,33,transversetemporal,right,25.55,25.55,67
38,43,parsorbitalis,left,25.82,25.82,68
47,52,paracentral,left,26.51,26.51,69
40,45,medialorbitofrontal,left,26.77,26.77,70
3,3,frontalpole,right,30.22,30.22,71
39,44,frontalpole,left,31.56,31.56,72
