RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
29,70,inferiortemporal,left,12.11,12.11,1
25,66,fusiform,left,12.9,12.9,2
30,71,middletemporal,left,13.06,13.06,3
27,68,entorhinal,left,13.86,13.86,4
31,72,bankssts,left,14.21,14.21,5
32,73,superiortemporal,left,15.96,15.96,6
19,60,inferiorparietal,left,16.44,16.44,7
26,67,parahippocampal,left,16.85,16.85,8
36,82,Left-Amygdala,left,17.73,17.73,9
17,58,supramarginal,left,17.98,17.98,10
23,64,lateraloccipital,left,18.17,18.17,11
28,69,temporalpole,left,18.52,18.52,12
20,61,precuneus,left,19.0,19.0,13
18,59,superiorparietal,left,19.71,19.71,14
7,48,rostralmiddlefrontal,left,20.77,20.77,15
24,65,lingual,left,20.8,20.8,16
15,56,isthmuscingulate,left,20.81,20.81,17
34,75,insula,left,21.96,21.96,18
5,46,parstriangularis,left,22.1,22.1,19
6,47,parsopercularis,left,22.17,22.17,20
35,81,Left-Hippocampus,left,22.26,22.26,21
9,50,caudalmiddlefrontal,left,22.82,22.82,22
16,57,postcentral,left,22.92,22.92,23
1,42,lateralorbitofrontal,left,23.19,23.19,24
22,63,pericalcarine,left,24.02,24.02,25
10,51,precentral,left,24.46,24.46,26
8,49,superiorfrontal,left,24.49,24.49,27
14,55,posteriorcingulate,left,24.69,24.69,28
33,74,transversetemporal,left,24.83,24.83,29
21,62,cuneus,left,25.83,25.83,30
2,43,parsorbitalis,left,25.97,25.97,31
13,54,caudalanteriorcingulate,left,27.11,27.11,32
12,53,rostralanteriorcingulate,left,27.3,27.3,33
11,52,paracentral,left,28.35,28.35,34
4,45,medialorbitofrontal,left,28.55,28.55,35
3,44,frontalpole,left,32.87,32.87,36
