RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
29,29,inferiortemporal,right,12.61,12.61,1
30,30,middletemporal,right,13.5,13.5,2
25,25,fusiform,right,13.59,13.59,3
31,31,bankssts,right,14.77,14.77,4
27,27,entorhinal,right,16.06,16.06,5
19,19,inferiorparietal,right,16.19,16.19,6
32,32,superiortemporal,right,16.69,16.69,7
23,23,lateraloccipital,right,18.1,18.1,8
26,26,parahippocampal,right,18.22,18.22,9
17,17,supramarginal,right,18.58,18.58,10
36,41,Right-Amygdala,right,19.22,19.22,11
18,18,superiorparietal,right,19.34,19.34,12
20,20,precuneus,right,19.65,19.65,13
28,28,temporalpole,right,19.89,19.89,14
7,7,rostralmiddlefrontal,right,21.72,21.72,15
24,24,lingual,right,22.16,22.16,16
35,40,Right-Hippocampus,right,22.44,22.44,17
34,34,insula,right,22.79,22.79,18
15,15,isthmuscingulate,right,22.95,22.95,19
1,1,lateralorbitofrontal,right,23.43,23.43,20
16,16,postcentral,right,23.65,23.65,21
5,5,parstriangularis,right,23.95,23.95,22
6,6,parsopercularis,right,24.29,24.29,23
9,9,caudalmiddlefrontal,right,24.68,24.68,24
14,14,posteriorcingulate,right,24.95,24.95,25
8,8,superiorfrontal,right,25.41,25.41,26
2,2,parsorbitalis,right,25.49,25.49,27
33,33,transversetemporal,right,25.62,25.62,28
22,22,pericalcarine,right,25.84,25.84,29
10,10,precentral,right,26.13,26.13,30
4,4,medialorbitofrontal,right,26.92,26.92,31
13,13,caudalanteriorcingulate,right,27.02,27.02,32
21,21,cuneus,right,27.08,27.08,33
11,11,paracentral,right,27.11,27.11,34
12,12,rostralanteriorcingulate,right,27.13,27.13,35
3,3,frontalpole,right,31.68,31.68,36
