RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
65,70,inferiortemporal,left,14.02,14.02,1
66,71,middletemporal,left,14.29,14.29,2
29,29,inferiortemporal,right,14.51,14.51,3
30,30,middletemporal,right,14.71,14.71,4
67,72,bankssts,left,14.9,14.9,5
31,31,bankssts,right,15.46,15.46,6
61,66,fusiform,left,16.33,16.33,7
68,73,superiortemporal,left,17.04,17.04,8
25,25,fusiform,right,17.13,17.13,9
19,19,inferiorparietal,right,17.4,17.4,10
55,60,inferiorparietal,left,17.67,17.67,11
32,32,superiortemporal,right,17.74,17.74,12
53,58,supramarginal,left,18.91,18.91,13
56,61,precuneus,left,19.1,19.1,14
20,20,precuneus,right,19.46,19.46,15
17,17,supramarginal,right,19.47,19.47,16
59,64,lateraloccipital,left,19.74,19.74,17
62,67,parahippocampal,left,19.86,19.86,18
23,23,lateraloccipital,right,19.93,19.93,19
18,18,superiorparietal,right,20.16,20.16,20
54,59,superiorparietal,left,20.48,20.48,21
43,48,rostralmiddlefrontal,left,21.56,21.56,22
26,26,parahippocampal,right,21.58,21.58,23
51,56,isthmuscingulate,left,21.75,21.75,24
7,7,rostralmiddlefrontal,right,22.31,22.31,25
60,65,lingual,left,22.89,22.89,26
70,75,insula,left,22.93,22.93,27
41,46,parstriangularis,left,22.95,22.95,28
42,47,parsopercularis,left,22.98,22.98,29
15,15,isthmuscingulate,right,23.12,23.12,30
45,50,caudalmiddlefrontal,left,23.54,23.54,31
52,57,postcentral,left,23.68,23.68,32
34,34,insula,right,23.7,23.7,33
44,49,superiorfrontal,left,23.92,23.92,34
37,42,lateralorbitofrontal,left,24.09,24.09,35
8,8,superiorfrontal,right,24.1,24.1,36
14,14,posteriorcingulate,right,24.21,24.21,37
50,55,posteriorcingulate,left,24.23,24.23,38
24,24,lingual,right,24.27,24.1,39
1,1,lateralorbitofrontal,right,24.32,24.32,40
16,16,postcentral,right,24.41,24.41,41
5,5,parstriangularis,right,24.64,24.64,42
6,6,parsopercularis,right,24.91,24.91,43
9,9,caudalmiddlefrontal,right,24.93,24.93,44
46,51,precentral,left,25.15,25.15,45
58,63,pericalcarine,left,25.32,25.32,46
69,74,transversetemporal,left,25.69,25.69,47
64,69,temporalpole,left,25.72,20.17,48
13,13,caudalanteriorcingulate,right,26.08,26.08,49
12,12,rostralanteriorcingulate,right,26.16,26.16,50
2,2,parsorbitalis,right,26.21,26.21,51
11,11,paracentral,right,26.21,26.21,52
49,54,caudalanteriorcingulate,left,26.37,26.37,53
48,53,rostralanteriorcingulate,left,26.38,26.38,54
4,4,medialorbitofrontal,right,26.41,26.41,55
10,10,precentral,right,26.5,26.5,56
33,33,transversetemporal,right,26.57,26.57,57
38,43,parsorbitalis,left,26.69,26.69,58
22,22,pericalcarine,right,26.82,26.82,59
21,21,cuneus,right,26.85,26.85,60
57,62,cuneus,left,26.86,25.95,61
72,82,Left-Amygdala,left,27.58,19.46,62
47,52,paracentral,left,27.64,27.64,63
40,45,medialorbitofrontal,left,27.66,27.66,64
28,28,temporalpole,right,27.89,21.52,65
3,3,frontalpole,right,31.25,31.25,66
36,41,Right-Amygdala,right,31.71,21.05,67
63,68,entorhinal,left,32.54,16.49,68
39,44,frontalpole,left,32.59,32.59,69
27,27,entorhinal,right,41.62,18.4,70
71,81,Left-Hippocampus,left,61.56,23.78,71
35,40,Right-Hippocampus,right,71.26,23.86,72
