RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
29,70,inferiortemporal,left,14.03,14.03,1
30,71,middletemporal,left,14.3,14.3,2
31,72,bankssts,left,14.9,14.9,3
25,66,fusiform,left,16.35,16.35,4
32,73,superiortemporal,left,17.07,17.07,5
19,60,inferiorparietal,left,17.76,17.76,6
17,58,supramarginal,left,19.01,19.01,7
23,64,lateraloccipital,left,19.88,19.88,8
26,67,parahippocampal,left,19.88,19.88,9
20,61,precuneus,left,20.66,20.66,10
18,59,superiorparietal,left,21.08,21.08,11
7,48,rostralmiddlefrontal,left,21.95,21.95,12
15,56,isthmuscingulate,left,22.48,22.48,13
34,75,insula,left,23.01,23.01,14
5,46,parstriangularis,left,23.08,23.08,15
6,47,parsopercularis,left,23.14,23.14,16
24,65,lingual,left,23.18,23.18,17
9,50,caudalmiddlefrontal,left,23.95,23.95,18
16,57,postcentral,left,23.95,23.95,19
1,42,lateralorbitofrontal,left,24.18,24.18,20
10,51,precentral,left,25.54,25.54,21
8,49,superiorfrontal,left,25.72,25.72,22
28,69,temporalpole,left,25.72,20.18,23
33,74,transversetemporal,left,25.75,25.75,24
14,55,posteriorcingulate,left,25.98,25.98,25
22,63,pericalcarine,left,25.98,25.98,26
2,43,parsorbitalis,left,26.84,26.84,27
21,62,cuneus,left,27.47,27.47,28
36,82,Left-Amygdala,left,27.58,19.47,29
13,54,caudalanteriorcingulate,left,28.26,28.26,30
12,53,rostralanteriorcingulate,left,28.46,28.46,31
4,45,medialorbitofrontal,left,29.51,29.51,32
11,52,paracentral,left,29.6,29.6,33
27,68,entorhinal,left,32.54,16.5,34
3,44,frontalpole,left,33.95,33.95,35
35,81,Left-Hippocampus,left,61.56,24.01,36
