RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,70,inferiortemporal,left,14.83,1
31,72,bankssts,left,15.43,2
4,45,medialorbitofrontal,left,16.21,3
19,60,inferiorparietal,left,16.34,4
2,43,parsorbitalis,left,16.53,5
1,42,lateralorbitofrontal,left,16.6,6
30,71,middletemporal,left,16.62,7
12,53,rostralanteriorcingulate,left,16.78,8
28,69,temporalpole,left,17.09,9
25,66,fusiform,left,17.7,10
26,67,parahippocampal,left,17.78,11
7,48,rostralmiddlefrontal,left,17.84,12
3,44,frontalpole,left,17.94,13
5,46,parstriangularis,left,18.2,14
17,58,supramarginal,left,18.21,15
14,55,posteriorcingulate,left,18.28,16
18,59,superiorparietal,left,18.45,17
32,73,superiortemporal,left,18.6,18
6,47,parsopercularis,left,18.63,19
34,75,insula,left,18.85,20
20,61,precuneus,left,19.16,21
15,56,isthmuscingulate,left,19.7,22
9,50,caudalmiddlefrontal,left,19.81,23
13,54,caudalanteriorcingulate,left,21.21,24
8,49,superiorfrontal,left,21.26,25
33,74,transversetemporal,left,21.85,26
23,64,lateraloccipital,left,22.14,27
27,68,entorhinal,left,22.46,28
16,57,postcentral,left,24.0,29
36,82,Left-Amygdala,left,24.05,30
10,51,precentral,left,24.37,31
24,65,lingual,left,24.9,32
11,52,paracentral,left,26.22,33
21,62,cuneus,left,27.82,34
22,63,pericalcarine,left,28.65,35
35,81,Left-Hippocampus,left,70.41,36
