RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,29,inferiortemporal,right,10.24,1
30,30,middletemporal,right,12.76,2
25,25,fusiform,right,13.46,3
20,20,precuneus,right,17.32,4
19,19,inferiorparietal,right,17.34,5
23,23,lateraloccipital,right,17.52,6
26,26,parahippocampal,right,17.92,7
32,32,superiortemporal,right,18.39,8
28,28,temporalpole,right,19.38,9
31,31,bankssts,right,19.42,10
15,15,isthmuscingulate,right,19.55,11
18,18,superiorparietal,right,19.91,12
17,17,supramarginal,right,22.59,13
1,1,lateralorbitofrontal,right,23.22,14
24,24,lingual,right,23.85,15
7,7,rostralmiddlefrontal,right,25.25,16
34,34,insula,right,26.04,17
4,4,medialorbitofrontal,right,26.76,18
14,14,posteriorcingulate,right,27.12,19
8,8,superiorfrontal,right,29.34,20
16,16,postcentral,right,29.41,21
5,5,parstriangularis,right,29.84,22
21,21,cuneus,right,30.04,23
2,2,parsorbitalis,right,30.37,24
12,12,rostralanteriorcingulate,right,30.47,25
22,22,pericalcarine,right,30.6,26
9,9,caudalmiddlefrontal,right,30.85,27
36,41,Right-Amygdala,right,30.87,28
13,13,caudalanteriorcingulate,right,31.05,29
11,11,paracentral,right,31.27,30
6,6,parsopercularis,right,31.41,31
10,10,precentral,right,33.03,32
33,33,transversetemporal,right,33.12,33
27,27,entorhinal,right,33.81,34
3,3,frontalpole,right,39.1,35
35,40,Right-Hippocampus,right,72.52,36
