RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
65,70,inferiortemporal,left,10.2,1
29,29,inferiortemporal,right,12.62,2
61,66,fusiform,left,14.5,3
66,71,middletemporal,left,14.99,4
25,25,fusiform,right,16.29,5
30,30,middletemporal,right,16.55,6
62,67,parahippocampal,left,17.59,7
55,60,inferiorparietal,left,18.57,8
20,20,precuneus,right,18.86,9
64,69,temporalpole,left,18.92,10
56,61,precuneus,left,19.38,11
68,73,superiortemporal,left,19.96,12
19,19,inferiorparietal,right,20.41,13
51,56,isthmuscingulate,left,20.49,14
67,72,bankssts,left,20.59,15
54,59,superiorparietal,left,20.87,16
26,26,parahippocampal,right,21.33,17
15,15,isthmuscingulate,right,21.54,18
23,23,lateraloccipital,right,21.68,19
59,64,lateraloccipital,left,21.83,20
32,32,superiortemporal,right,21.87,21
31,31,bankssts,right,22.08,22
18,18,superiorparietal,right,22.13,23
53,58,supramarginal,left,22.72,24
28,28,temporalpole,right,23.19,25
17,17,supramarginal,right,25.08,26
70,75,insula,left,25.18,27
37,42,lateralorbitofrontal,left,25.37,28
63,68,entorhinal,left,25.46,29
43,48,rostralmiddlefrontal,left,25.87,30
60,65,lingual,left,26.24,31
1,1,lateralorbitofrontal,right,26.55,32
14,14,posteriorcingulate,right,27.14,33
7,7,rostralmiddlefrontal,right,27.48,34
50,55,posteriorcingulate,left,27.55,35
42,47,parsopercularis,left,27.75,36
72,82,Left-Amygdala,left,27.87,37
44,49,superiorfrontal,left,27.88,38
45,50,caudalmiddlefrontal,left,28.28,39
24,24,lingual,right,28.5,40
8,8,superiorfrontal,right,28.71,41
34,34,insula,right,28.82,42
4,4,medialorbitofrontal,right,28.84,43
52,57,postcentral,left,28.91,44
41,46,parstriangularis,left,29.12,45
57,62,cuneus,left,29.59,46
46,51,precentral,left,30.25,47
58,63,pericalcarine,left,30.31,48
48,53,rostralanteriorcingulate,left,30.33,49
12,12,rostralanteriorcingulate,right,30.49,50
40,45,medialorbitofrontal,left,30.67,51
13,13,caudalanteriorcingulate,right,30.8,52
11,11,paracentral,right,30.95,53
38,43,parsorbitalis,left,31.19,54
16,16,postcentral,right,31.2,55
21,21,cuneus,right,31.31,56
5,5,parstriangularis,right,31.82,57
69,74,transversetemporal,left,31.87,58
9,9,caudalmiddlefrontal,right,32.06,59
22,22,pericalcarine,right,32.38,60
49,54,caudalanteriorcingulate,left,32.49,61
2,2,parsorbitalis,right,32.75,62
6,6,parsopercularis,right,33.19,63
10,10,precentral,right,34.23,64
47,52,paracentral,left,34.28,65
33,33,transversetemporal,right,35.69,66
36,41,Right-Amygdala,right,36.84,67
27,27,entorhinal,right,39.24,68
3,3,frontalpole,right,39.46,69
39,44,frontalpole,left,39.87,70
71,81,Left-Hippocampus,left,80.16,71
35,40,Right-Hippocampus,right,84.63,72
