RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,70,inferiortemporal,left,10.2,1
25,66,fusiform,left,14.5,2
30,71,middletemporal,left,15.02,3
26,67,parahippocampal,left,17.59,4
19,60,inferiorparietal,left,18.79,5
28,69,temporalpole,left,18.92,6
32,73,superiortemporal,left,20.08,7
31,72,bankssts,left,20.63,8
15,56,isthmuscingulate,left,21.26,9
20,61,precuneus,left,21.65,10
23,64,lateraloccipital,left,21.83,11
18,59,superiorparietal,left,21.84,12
17,58,supramarginal,left,23.02,13
34,75,insula,left,25.34,14
27,68,entorhinal,left,25.46,15
1,42,lateralorbitofrontal,left,25.5,16
24,65,lingual,left,26.24,17
7,48,rostralmiddlefrontal,left,26.66,18
36,82,Left-Amygdala,left,27.87,19
6,47,parsopercularis,left,28.1,20
9,50,caudalmiddlefrontal,left,29.09,21
5,46,parstriangularis,left,29.46,22
16,57,postcentral,left,29.5,23
14,55,posteriorcingulate,left,30.46,24
8,49,superiorfrontal,left,30.88,25
10,51,precentral,left,30.95,26
2,43,parsorbitalis,left,31.43,27
22,63,pericalcarine,left,31.47,28
21,62,cuneus,left,31.55,29
33,74,transversetemporal,left,32.04,30
4,45,medialorbitofrontal,left,33.6,31
12,53,rostralanteriorcingulate,left,33.74,32
13,54,caudalanteriorcingulate,left,36.09,33
11,52,paracentral,left,37.8,34
3,44,frontalpole,left,42.45,35
35,81,Left-Hippocampus,left,80.16,36
