RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,29,inferiortemporal,right,12.62,1
25,25,fusiform,right,16.29,2
30,30,middletemporal,right,16.61,3
19,19,inferiorparietal,right,20.66,4
20,20,precuneus,right,21.17,5
26,26,parahippocampal,right,21.33,6
23,23,lateraloccipital,right,21.68,7
32,32,superiortemporal,right,22.1,8
31,31,bankssts,right,22.14,9
15,15,isthmuscingulate,right,22.66,10
18,18,superiorparietal,right,23.19,11
28,28,temporalpole,right,23.19,12
17,17,supramarginal,right,25.57,13
1,1,lateralorbitofrontal,right,26.67,14
24,24,lingual,right,28.5,15
7,7,rostralmiddlefrontal,right,28.84,16
34,34,insula,right,29.16,17
14,14,posteriorcingulate,right,29.82,18
4,4,medialorbitofrontal,right,30.3,19
16,16,postcentral,right,32.28,20
5,5,parstriangularis,right,32.62,21
8,8,superiorfrontal,right,32.92,22
2,2,parsorbitalis,right,33.08,23
12,12,rostralanteriorcingulate,right,33.12,24
21,21,cuneus,right,33.67,25
13,13,caudalanteriorcingulate,right,33.82,26
9,9,caudalmiddlefrontal,right,34.07,27
6,6,parsopercularis,right,34.24,28
22,22,pericalcarine,right,34.26,29
11,11,paracentral,right,34.28,30
10,10,precentral,right,35.99,31
33,33,transversetemporal,right,36.04,32
36,41,Right-Amygdala,right,36.84,33
27,27,entorhinal,right,39.24,34
3,3,frontalpole,right,42.01,35
35,40,Right-Hippocampus,right,84.63,36
