RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
65,70,inferiortemporal,left,19.22,19.22,1
61,66,fusiform,left,20.44,16.66,2
62,67,parahippocampal,left,21.06,8.52,3
29,29,inferiortemporal,right,21.72,21.72,4
25,25,fusiform,right,22.96,17.94,5
20,20,precuneus,right,23.2,23.2,6
66,71,middletemporal,left,23.95,23.95,7
56,61,precuneus,left,24.12,24.12,8
51,56,isthmuscingulate,left,24.47,24.47,9
15,15,isthmuscingulate,right,24.89,24.89,10
55,60,inferiorparietal,left,25.45,25.45,11
26,26,parahippocampal,right,25.53,10.18,12
30,30,middletemporal,right,25.9,25.9,13
54,59,superiorparietal,left,26.6,26.6,14
68,73,superiortemporal,left,27.58,27.58,15
64,69,temporalpole,left,27.89,10.43,16
19,19,inferiorparietal,right,27.9,27.9,17
67,72,bankssts,left,27.9,27.9,18
18,18,superiorparietal,right,28.4,28.4,19
53,58,supramarginal,left,29.32,29.32,20
31,31,bankssts,right,29.41,29.41,21
23,23,lateraloccipital,right,29.7,29.6,22
32,32,superiortemporal,right,29.89,29.89,23
59,64,lateraloccipital,left,29.91,27.65,24
14,14,posteriorcingulate,right,30.57,30.57,25
50,55,posteriorcingulate,left,31.24,31.24,26
37,42,lateralorbitofrontal,left,31.28,31.28,27
70,75,insula,left,31.68,31.68,28
17,17,supramarginal,right,32.08,32.08,29
43,48,rostralmiddlefrontal,left,32.52,32.52,30
1,1,lateralorbitofrontal,right,32.61,32.61,31
63,68,entorhinal,left,32.62,0.0,32
4,4,medialorbitofrontal,right,33.24,33.24,33
44,49,superiorfrontal,left,33.41,33.41,34
7,7,rostralmiddlefrontal,right,33.71,33.71,35
8,8,superiorfrontal,right,33.97,33.97,36
48,53,rostralanteriorcingulate,left,34.1,34.1,37
12,12,rostralanteriorcingulate,right,34.13,34.13,38
28,28,temporalpole,right,34.2,12.07,39
42,47,parsopercularis,left,34.66,34.66,40
13,13,caudalanteriorcingulate,right,34.73,34.73,41
40,45,medialorbitofrontal,left,34.75,34.75,42
45,50,caudalmiddlefrontal,left,35.13,35.13,43
72,82,Left-Amygdala,left,35.24,0.0,44
11,11,paracentral,right,35.51,35.51,45
34,34,insula,right,35.58,35.58,46
52,57,postcentral,left,35.66,35.66,47
41,46,parstriangularis,left,35.75,35.75,48
38,43,parsorbitalis,left,36.63,36.63,49
49,54,caudalanteriorcingulate,left,36.8,36.8,50
46,51,precentral,left,37.34,37.34,51
5,5,parstriangularis,right,37.84,37.84,52
16,16,postcentral,right,38.09,38.09,53
69,74,transversetemporal,left,38.27,38.27,54
2,2,parsorbitalis,right,38.37,38.37,55
9,9,caudalmiddlefrontal,right,38.46,38.46,56
47,52,paracentral,left,39.2,39.2,57
6,6,parsopercularis,right,39.63,39.63,58
57,62,cuneus,left,40.31,36.09,59
10,10,precentral,right,41.06,41.06,60
60,65,lingual,left,41.8,27.17,61
58,63,pericalcarine,left,42.02,38.31,62
33,33,transversetemporal,right,42.77,42.77,63
22,22,pericalcarine,right,44.3,40.58,64
3,3,frontalpole,right,44.41,44.41,65
39,44,frontalpole,left,44.88,44.88,66
21,21,cuneus,right,45.36,37.86,67
24,24,lingual,right,45.41,29.6,68
36,41,Right-Amygdala,right,46.58,0.0,69
27,27,entorhinal,right,50.27,0.0,70
71,81,Left-Hippocampus,left,87.51,0.0,71
35,40,Right-Hippocampus,right,92.4,0.0,72
