RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
29,70,inferiortemporal,left,19.29,19.29,1
25,66,fusiform,left,20.44,16.68,2
26,67,parahippocampal,left,21.06,8.52,3
30,71,middletemporal,left,24.09,24.09,4
15,56,isthmuscingulate,left,25.5,25.5,5
19,60,inferiorparietal,left,25.99,25.99,6
20,61,precuneus,left,27.01,27.01,7
32,73,superiortemporal,left,27.88,27.88,8
28,69,temporalpole,left,27.89,10.43,9
31,72,bankssts,left,28.07,28.07,10
18,59,superiorparietal,left,28.1,28.1,11
23,64,lateraloccipital,left,29.91,28.07,12
17,58,supramarginal,left,29.92,29.92,13
1,42,lateralorbitofrontal,left,31.54,31.54,14
34,75,insula,left,32.0,32.0,15
27,68,entorhinal,left,32.62,0.0,16
7,48,rostralmiddlefrontal,left,33.86,33.86,17
14,55,posteriorcingulate,left,34.6,34.6,18
36,82,Left-Amygdala,left,35.24,0.0,19
6,47,parsopercularis,left,35.33,35.33,20
5,46,parstriangularis,left,36.37,36.37,21
9,50,caudalmiddlefrontal,left,36.55,36.55,22
16,57,postcentral,left,36.61,36.61,23
2,43,parsorbitalis,left,37.02,37.02,24
8,49,superiorfrontal,left,37.37,37.37,25
12,53,rostralanteriorcingulate,left,38.05,38.05,26
4,45,medialorbitofrontal,left,38.33,38.33,27
10,51,precentral,left,38.51,38.51,28
33,74,transversetemporal,left,38.59,38.59,29
21,62,cuneus,left,40.31,38.7,30
13,54,caudalanteriorcingulate,left,41.01,41.01,31
24,65,lingual,left,41.8,27.61,32
22,63,pericalcarine,left,42.02,40.11,33
11,52,paracentral,left,43.34,43.34,34
3,44,frontalpole,left,48.19,48.19,35
35,81,Left-Hippocampus,left,87.51,0.0,36
