RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
29,29,inferiortemporal,right,21.79,21.79,1
25,25,fusiform,right,22.96,17.97,2
26,26,parahippocampal,right,25.53,10.18,3
20,20,precuneus,right,25.76,25.76,4
30,30,middletemporal,right,26.1,26.1,5
15,15,isthmuscingulate,right,26.12,26.12,6
19,19,inferiorparietal,right,28.45,28.45,7
31,31,bankssts,right,29.57,29.57,8
18,18,superiorparietal,right,29.86,29.86,9
23,23,lateraloccipital,right,29.97,29.97,10
32,32,superiortemporal,right,30.37,30.37,11
1,1,lateralorbitofrontal,right,32.84,32.84,12
17,17,supramarginal,right,32.93,32.93,13
14,14,posteriorcingulate,right,33.31,33.31,14
28,28,temporalpole,right,34.2,12.08,15
4,4,medialorbitofrontal,right,34.97,34.97,16
7,7,rostralmiddlefrontal,right,35.54,35.54,17
34,34,insula,right,36.15,36.15,18
12,12,rostralanteriorcingulate,right,36.82,36.82,19
13,13,caudalanteriorcingulate,right,37.79,37.79,20
8,8,superiorfrontal,right,38.54,38.54,21
2,2,parsorbitalis,right,38.82,38.82,22
5,5,parstriangularis,right,38.92,38.92,23
11,11,paracentral,right,38.93,38.93,24
16,16,postcentral,right,39.61,39.61,25
6,6,parsopercularis,right,41.07,41.07,26
9,9,caudalmiddlefrontal,right,41.08,41.08,27
33,33,transversetemporal,right,43.35,43.35,28
10,10,precentral,right,43.36,43.36,29
22,22,pericalcarine,right,44.3,43.01,30
21,21,cuneus,right,45.36,40.7,31
24,24,lingual,right,45.41,30.27,32
36,41,Right-Amygdala,right,46.58,0.0,33
3,3,frontalpole,right,47.15,47.15,34
27,27,entorhinal,right,50.27,0.0,35
35,40,Right-Hippocampus,right,92.4,0.0,36
