RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
62,67,parahippocampal,left,12.95,1
64,69,temporalpole,left,15.38,2
26,26,parahippocampal,right,15.46,3
72,82,Left-Amygdala,left,17.11,4
61,66,fusiform,left,17.3,5
65,70,inferiortemporal,left,18.29,6
25,25,fusiform,right,18.73,7
28,28,temporalpole,right,18.86,8
63,68,entorhinal,left,19.01,9
29,29,inferiortemporal,right,20.7,10
20,20,precuneus,right,22.55,11
36,41,Right-Amygdala,right,22.62,12
66,71,middletemporal,left,22.63,13
56,61,precuneus,left,23.42,14
51,56,isthmuscingulate,left,24.16,15
15,15,isthmuscingulate,right,24.5,16
55,60,inferiorparietal,left,24.61,17
60,65,lingual,left,24.91,18
30,30,middletemporal,right,24.95,19
59,64,lateraloccipital,left,25.43,20
54,59,superiorparietal,left,26.17,21
68,73,superiortemporal,left,26.81,22
19,19,inferiorparietal,right,27.05,23
67,72,bankssts,left,27.16,24
18,18,superiorparietal,right,27.81,25
24,24,lingual,right,28.2,26
23,23,lateraloccipital,right,28.29,27
53,58,supramarginal,left,28.32,28
31,31,bankssts,right,28.91,29
27,27,entorhinal,right,29.29,30
32,32,superiortemporal,right,29.47,31
14,14,posteriorcingulate,right,29.73,32
50,55,posteriorcingulate,left,30.38,33
17,17,supramarginal,right,30.72,34
37,42,lateralorbitofrontal,left,31.08,35
70,75,insula,left,31.1,36
43,48,rostralmiddlefrontal,left,31.86,37
1,1,lateralorbitofrontal,right,32.57,38
44,49,superiorfrontal,left,32.88,39
57,62,cuneus,left,32.9,40
21,21,cuneus,right,33.12,41
7,7,rostralmiddlefrontal,right,33.4,42
8,8,superiorfrontal,right,33.42,43
52,57,postcentral,left,33.46,44
4,4,medialorbitofrontal,right,33.51,45
48,53,rostralanteriorcingulate,left,33.75,46
12,12,rostralanteriorcingulate,right,33.76,47
42,47,parsopercularis,left,33.83,48
13,13,caudalanteriorcingulate,right,34.05,49
11,11,paracentral,right,34.1,50
45,50,caudalmiddlefrontal,left,34.13,51
40,45,medialorbitofrontal,left,34.53,52
34,34,insula,right,34.71,53
41,46,parstriangularis,left,35.09,54
58,63,pericalcarine,left,35.09,55
46,51,precentral,left,35.51,56
16,16,postcentral,right,35.88,57
49,54,caudalanteriorcingulate,left,36.08,58
38,43,parsorbitalis,left,36.2,59
22,22,pericalcarine,right,36.76,60
69,74,transversetemporal,left,36.83,61
47,52,paracentral,left,37.08,62
5,5,parstriangularis,right,37.15,63
9,9,caudalmiddlefrontal,right,37.22,64
2,2,parsorbitalis,right,37.79,65
6,6,parsopercularis,right,38.46,66
10,10,precentral,right,38.88,67
33,33,transversetemporal,right,40.25,68
71,81,Left-Hippocampus,left,42.84,69
3,3,frontalpole,right,43.43,70
39,44,frontalpole,left,43.79,71
35,40,Right-Hippocampus,right,45.24,72
