RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
26,67,parahippocampal,left,12.96,1
28,69,temporalpole,left,15.38,2
36,82,Left-Amygdala,left,17.11,3
25,66,fusiform,left,17.33,4
29,70,inferiortemporal,left,18.35,5
27,68,entorhinal,left,19.01,6
30,71,middletemporal,left,22.76,7
19,60,inferiorparietal,left,25.13,8
15,56,isthmuscingulate,left,25.18,9
24,65,lingual,left,25.31,10
23,64,lateraloccipital,left,25.82,11
20,61,precuneus,left,26.26,12
32,73,superiortemporal,left,27.1,13
31,72,bankssts,left,27.33,14
18,59,superiorparietal,left,27.67,15
17,58,supramarginal,left,28.91,16
1,42,lateralorbitofrontal,left,31.34,17
34,75,insula,left,31.42,18
7,48,rostralmiddlefrontal,left,33.17,19
14,55,posteriorcingulate,left,33.67,20
16,57,postcentral,left,34.39,21
6,47,parsopercularis,left,34.48,22
21,62,cuneus,left,35.37,23
9,50,caudalmiddlefrontal,left,35.51,24
5,46,parstriangularis,left,35.69,25
2,43,parsorbitalis,left,36.58,26
10,51,precentral,left,36.61,27
22,63,pericalcarine,left,36.77,28
8,49,superiorfrontal,left,36.79,29
33,74,transversetemporal,left,37.15,30
12,53,rostralanteriorcingulate,left,37.66,31
4,45,medialorbitofrontal,left,38.1,32
13,54,caudalanteriorcingulate,left,40.22,33
11,52,paracentral,left,41.04,34
35,81,Left-Hippocampus,left,42.84,35
3,44,frontalpole,left,47.05,36
