RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
26,26,parahippocampal,right,15.47,1
25,25,fusiform,right,18.76,2
28,28,temporalpole,right,18.86,3
29,29,inferiortemporal,right,20.77,4
36,41,Right-Amygdala,right,22.62,5
20,20,precuneus,right,25.05,6
30,30,middletemporal,right,25.14,7
15,15,isthmuscingulate,right,25.71,8
19,19,inferiorparietal,right,27.57,9
23,23,lateraloccipital,right,28.64,10
24,24,lingual,right,28.83,11
31,31,bankssts,right,29.08,12
18,18,superiorparietal,right,29.24,13
27,27,entorhinal,right,29.29,14
32,32,superiortemporal,right,29.95,15
17,17,supramarginal,right,31.55,16
14,14,posteriorcingulate,right,32.4,17
1,1,lateralorbitofrontal,right,32.79,18
7,7,rostralmiddlefrontal,right,35.21,19
4,4,medialorbitofrontal,right,35.26,20
34,34,insula,right,35.26,21
21,21,cuneus,right,35.65,22
12,12,rostralanteriorcingulate,right,36.42,23
13,13,caudalanteriorcingulate,right,37.06,24
16,16,postcentral,right,37.34,25
11,11,paracentral,right,37.4,26
8,8,superiorfrontal,right,37.93,27
5,5,parstriangularis,right,38.21,28
2,2,parsorbitalis,right,38.24,29
22,22,pericalcarine,right,39.0,30
9,9,caudalmiddlefrontal,right,39.74,31
6,6,parsopercularis,right,39.86,32
33,33,transversetemporal,right,40.8,33
10,10,precentral,right,41.05,34
35,40,Right-Hippocampus,right,45.24,35
3,3,frontalpole,right,46.11,36
