DKTID,Seed,Hemisphere,Seed_prob,lobe
1,lateralorbitofrontal,right,0.0,frontal
2,parsorbitalis,right,0.0,frontal
4,medialorbitofrontal,right,0.0,frontal
5,parstriangularis,right,0.0,frontal
6,parsopercularis,right,0.0,frontal
8,superiorfrontal,right,0.0,frontal
9,caudalmiddlefrontal,right,0.0,frontal
10,precentral,right,0.0,frontal
11,paracentral,right,0.0,frontal
12,rostralanteriorcingulate,right,0.0,cingulate
13,caudalanteriorcingulate,right,0.0,cingulate
14,posteriorcingulate,right,0.0,cingulate
16,postcentral,right,0.0,parietal
17,supramarginal,right,0.0,parietal
18,superiorparietal,right,0.0,parietal
21,cuneus,right,0.0,occiptal
22,pericalcarine,right,0.0,occiptal
23,lateraloccipital,right,0.0,occiptal
24,lingual,right,0.0,occiptal
28,temporalpole,right,0.0,temporal
32,superiortemporal,right,0.0,temporal
33,transversetemporal,right,0.0,temporal
34,insula,right,0.0,cingulate
40,Right-Hippocampus,right,0.0,temporal
31,bankssts,right,0.0009784735812133072,temporal
27,entorhinal,right,0.0019569471624266144,temporal
3,frontalpole,right,0.003913894324853229,frontal
7,rostralmiddlefrontal,right,0.008806262230919765,frontal
30,middletemporal,right,0.014677103718199608,temporal
19,inferiorparietal,right,0.015655577299412915,parietal
15,isthmuscingulate,right,0.018590998043052837,cingulate
20,precuneus,right,0.036203522504892366,parietal
41,Right-Amygdala,right,0.06262230919765166,temporal
26,parahippocampal,right,0.1780821917808219,temporal
29,inferiortemporal,right,0.24168297455968688,temporal
25,fusiform,right,0.41682974559686886,temporal
