RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,29,inferiortemporal,right,28.37,1
65,70,inferiortemporal,left,29.27,2
51,56,isthmuscingulate,left,29.85,3
15,15,isthmuscingulate,right,31.05,4
20,20,precuneus,right,31.62,5
56,61,precuneus,left,31.65,6
30,30,middletemporal,right,31.67,7
66,71,middletemporal,left,32.32,8
19,19,inferiorparietal,right,33.02,9
18,18,superiorparietal,right,33.47,10
55,60,inferiorparietal,left,33.53,11
54,59,superiorparietal,left,33.85,12
31,31,bankssts,right,35.2,13
67,72,bankssts,left,35.25,14
68,73,superiortemporal,left,35.51,15
53,58,supramarginal,left,36.0,16
32,32,superiortemporal,right,36.05,17
50,55,posteriorcingulate,left,36.15,18
17,17,supramarginal,right,36.33,19
14,14,posteriorcingulate,right,36.41,20
44,49,superiorfrontal,left,37.92,21
43,48,rostralmiddlefrontal,left,38.06,22
8,8,superiorfrontal,right,38.1,23
7,7,rostralmiddlefrontal,right,38.12,24
13,13,caudalanteriorcingulate,right,38.62,25
70,75,insula,left,38.77,26
45,50,caudalmiddlefrontal,left,38.91,27
49,54,caudalanteriorcingulate,left,38.98,28
61,66,fusiform,left,39.09,29
25,25,fusiform,right,39.27,30
1,1,lateralorbitofrontal,right,39.39,31
34,34,insula,right,39.4,32
42,47,parsopercularis,left,39.64,33
9,9,caudalmiddlefrontal,right,39.79,34
48,53,rostralanteriorcingulate,left,39.83,35
37,42,lateralorbitofrontal,left,39.85,36
12,12,rostralanteriorcingulate,right,40.19,37
41,46,parstriangularis,left,40.75,38
4,4,medialorbitofrontal,right,40.87,39
5,5,parstriangularis,right,40.89,40
6,6,parsopercularis,right,41.07,41
11,11,paracentral,right,41.97,42
40,45,medialorbitofrontal,left,42.02,43
2,2,parsorbitalis,right,42.56,44
69,74,transversetemporal,left,42.71,45
47,52,paracentral,left,42.94,46
38,43,parsorbitalis,left,43.38,47
33,33,transversetemporal,right,45.5,48
3,3,frontalpole,right,46.63,49
39,44,frontalpole,left,47.69,50
16,16,postcentral,right,48.91,51
22,22,pericalcarine,right,50.84,52
52,57,postcentral,left,51.2,53
28,28,temporalpole,right,51.57,54
10,10,precentral,right,51.62,55
26,26,parahippocampal,right,51.77,56
64,69,temporalpole,left,52.1,57
62,67,parahippocampal,left,52.81,58
23,23,lateraloccipital,right,53.03,59
46,51,precentral,left,54.03,60
58,63,pericalcarine,left,55.29,61
59,64,lateraloccipital,left,59.94,62
57,62,cuneus,left,66.37,63
24,24,lingual,right,67.04,64
60,65,lingual,left,68.17,65
21,21,cuneus,right,71.0,66
72,82,Left-Amygdala,left,71.61,67
36,41,Right-Amygdala,right,73.33,68
63,68,entorhinal,left,73.45,69
27,27,entorhinal,right,94.35,70
71,81,Left-Hippocampus,left,182.52,71
35,40,Right-Hippocampus,right,186.12,72
