RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,70,inferiortemporal,left,29.27,1
15,56,isthmuscingulate,left,30.96,2
30,71,middletemporal,left,32.62,3
19,60,inferiorparietal,left,34.35,4
20,61,precuneus,left,34.75,5
32,73,superiortemporal,left,35.51,6
31,72,bankssts,left,35.59,7
18,59,superiorparietal,left,35.68,8
17,58,supramarginal,left,36.89,9
25,66,fusiform,left,39.09,10
34,75,insula,left,39.43,11
14,55,posteriorcingulate,left,39.57,12
7,48,rostralmiddlefrontal,left,40.03,13
1,42,lateralorbitofrontal,left,40.46,14
6,47,parsopercularis,left,40.74,15
9,50,caudalmiddlefrontal,left,40.74,16
5,46,parstriangularis,left,41.78,17
8,49,superiorfrontal,left,42.22,18
13,54,caudalanteriorcingulate,left,42.65,19
33,74,transversetemporal,left,43.23,20
11,52,paracentral,left,43.83,21
12,53,rostralanteriorcingulate,left,44.12,22
2,43,parsorbitalis,left,44.21,23
4,45,medialorbitofrontal,left,46.24,24
3,44,frontalpole,left,50.76,25
16,57,postcentral,left,51.2,26
28,69,temporalpole,left,52.1,27
26,67,parahippocampal,left,52.81,28
10,51,precentral,left,54.03,29
22,63,pericalcarine,left,55.29,30
23,64,lateraloccipital,left,59.94,31
21,62,cuneus,left,66.37,32
24,65,lingual,left,68.17,33
36,82,Left-Amygdala,left,71.61,34
27,68,entorhinal,left,73.45,35
35,81,Left-Hippocampus,left,182.52,36
