RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,29,inferiortemporal,right,28.69,1
65,70,inferiortemporal,left,28.94,2
51,56,isthmuscingulate,left,29.6,3
15,15,isthmuscingulate,right,31.26,4
56,61,precuneus,left,31.53,5
20,20,precuneus,right,31.71,6
30,30,middletemporal,right,31.92,7
66,71,middletemporal,left,32.06,8
55,60,inferiorparietal,left,33.23,9
19,19,inferiorparietal,right,33.32,10
54,59,superiorparietal,left,33.6,11
18,18,superiorparietal,right,34.01,12
68,73,superiortemporal,left,34.82,13
67,72,bankssts,left,35.03,14
31,31,bankssts,right,35.41,15
53,58,supramarginal,left,35.74,16
50,55,posteriorcingulate,left,36.12,17
14,14,posteriorcingulate,right,36.42,18
17,17,supramarginal,right,36.58,19
32,32,superiortemporal,right,36.78,20
44,49,superiorfrontal,left,37.85,21
43,48,rostralmiddlefrontal,left,37.92,22
8,8,superiorfrontal,right,38.15,23
7,7,rostralmiddlefrontal,right,38.25,24
70,75,insula,left,38.52,25
13,13,caudalanteriorcingulate,right,38.62,26
61,66,fusiform,left,38.68,27
45,50,caudalmiddlefrontal,left,38.74,28
49,54,caudalanteriorcingulate,left,38.97,29
42,47,parsopercularis,left,39.38,30
1,1,lateralorbitofrontal,right,39.57,31
34,34,insula,right,39.65,32
37,42,lateralorbitofrontal,left,39.66,33
25,25,fusiform,right,39.69,34
48,53,rostralanteriorcingulate,left,39.81,35
9,9,caudalmiddlefrontal,right,39.93,36
12,12,rostralanteriorcingulate,right,40.21,37
41,46,parstriangularis,left,40.5,38
4,4,medialorbitofrontal,right,40.91,39
5,5,parstriangularis,right,41.13,40
6,6,parsopercularis,right,41.32,41
11,11,paracentral,right,41.32,42
40,45,medialorbitofrontal,left,41.99,43
69,74,transversetemporal,left,42.43,44
2,2,parsorbitalis,right,42.81,45
38,43,parsorbitalis,left,43.14,46
47,52,paracentral,left,43.63,47
33,33,transversetemporal,right,46.42,48
3,3,frontalpole,right,46.67,49
39,44,frontalpole,left,47.65,50
16,16,postcentral,right,49.71,51
52,57,postcentral,left,50.39,52
22,22,pericalcarine,right,50.91,53
62,67,parahippocampal,left,51.71,54
64,69,temporalpole,left,51.83,55
28,28,temporalpole,right,51.84,56
10,10,precentral,right,52.55,57
26,26,parahippocampal,right,52.89,58
46,51,precentral,left,53.09,59
23,23,lateraloccipital,right,55.2,60
58,63,pericalcarine,left,55.21,61
59,64,lateraloccipital,left,57.64,62
57,62,cuneus,left,64.61,63
24,24,lingual,right,67.4,64
60,65,lingual,left,67.8,65
72,82,Left-Amygdala,left,71.05,66
63,68,entorhinal,left,72.65,67
21,21,cuneus,right,72.95,68
36,41,Right-Amygdala,right,73.91,69
27,27,entorhinal,right,95.39,70
35,40,Right-Hippocampus,right,183.43,71
71,81,Left-Hippocampus,left,185.17,72
