RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,70,inferiortemporal,left,28.94,1
15,56,isthmuscingulate,left,30.65,2
30,71,middletemporal,left,32.35,3
19,60,inferiorparietal,left,34.02,4
20,61,precuneus,left,34.5,5
32,73,superiortemporal,left,35.12,6
18,59,superiorparietal,left,35.35,7
31,72,bankssts,left,35.36,8
17,58,supramarginal,left,36.59,9
25,66,fusiform,left,38.68,10
34,75,insula,left,39.15,11
14,55,posteriorcingulate,left,39.43,12
7,48,rostralmiddlefrontal,left,39.8,13
1,42,lateralorbitofrontal,left,40.25,14
6,47,parsopercularis,left,40.43,15
9,50,caudalmiddlefrontal,left,40.49,16
5,46,parstriangularis,left,41.47,17
8,49,superiorfrontal,left,42.0,18
13,54,caudalanteriorcingulate,left,42.54,19
33,74,transversetemporal,left,42.93,20
11,52,paracentral,left,43.75,21
2,43,parsorbitalis,left,43.94,22
12,53,rostralanteriorcingulate,left,43.98,23
4,45,medialorbitofrontal,left,46.09,24
16,57,postcentral,left,50.39,25
3,44,frontalpole,left,50.63,26
26,67,parahippocampal,left,51.71,27
28,69,temporalpole,left,51.83,28
10,51,precentral,left,53.09,29
22,63,pericalcarine,left,55.21,30
23,64,lateraloccipital,left,57.64,31
21,62,cuneus,left,64.61,32
24,65,lingual,left,67.8,33
36,82,Left-Amygdala,left,71.05,34
27,68,entorhinal,left,72.65,35
35,81,Left-Hippocampus,left,185.17,36
