RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
65,70,inferiortemporal,left,8.58,1
66,71,middletemporal,left,9.35,2
29,29,inferiortemporal,right,10.62,3
30,30,middletemporal,right,10.88,4
61,66,fusiform,left,12.38,5
25,25,fusiform,right,13.91,6
62,67,parahippocampal,left,15.22,7
68,73,superiortemporal,left,15.6,8
55,60,inferiorparietal,left,16.0,9
64,69,temporalpole,left,16.29,10
67,72,bankssts,left,16.52,11
32,32,superiortemporal,right,17.01,12
19,19,inferiorparietal,right,17.43,13
23,23,lateraloccipital,right,18.18,14
31,31,bankssts,right,18.23,15
59,64,lateraloccipital,left,18.31,16
26,26,parahippocampal,right,18.45,17
54,59,superiorparietal,left,18.88,18
56,61,precuneus,left,19.14,19
20,20,precuneus,right,19.67,20
18,18,superiorparietal,right,19.68,21
53,58,supramarginal,left,19.7,22
51,56,isthmuscingulate,left,19.77,23
28,28,temporalpole,right,19.97,24
17,17,supramarginal,right,21.57,25
15,15,isthmuscingulate,right,22.04,26
63,68,entorhinal,left,22.46,27
60,65,lingual,left,22.62,28
70,75,insula,left,22.96,29
37,42,lateralorbitofrontal,left,23.67,30
43,48,rostralmiddlefrontal,left,23.77,31
72,82,Left-Amygdala,left,24.05,32
52,57,postcentral,left,24.15,33
24,24,lingual,right,24.57,34
46,51,precentral,left,24.65,35
1,1,lateralorbitofrontal,right,24.85,36
42,47,parsopercularis,left,24.97,37
45,50,caudalmiddlefrontal,left,25.43,38
58,63,pericalcarine,left,25.76,39
34,34,insula,right,25.79,40
57,62,cuneus,left,25.81,41
7,7,rostralmiddlefrontal,right,25.96,42
44,49,superiorfrontal,left,26.13,43
41,46,parstriangularis,left,26.31,44
16,16,postcentral,right,26.57,45
8,8,superiorfrontal,right,27.04,46
21,21,cuneus,right,27.19,47
50,55,posteriorcingulate,left,27.38,48
14,14,posteriorcingulate,right,27.54,49
22,22,pericalcarine,right,27.76,50
69,74,transversetemporal,left,28.41,51
4,4,medialorbitofrontal,right,28.51,52
10,10,precentral,right,28.61,53
11,11,paracentral,right,29.11,54
9,9,caudalmiddlefrontal,right,29.13,55
5,5,parstriangularis,right,29.43,56
38,43,parsorbitalis,left,29.46,57
6,6,parsopercularis,right,29.97,58
13,13,caudalanteriorcingulate,right,30.38,59
40,45,medialorbitofrontal,left,30.45,60
48,53,rostralanteriorcingulate,left,30.49,61
2,2,parsorbitalis,right,30.6,62
33,33,transversetemporal,right,30.83,63
12,12,rostralanteriorcingulate,right,30.84,64
49,54,caudalanteriorcingulate,left,31.09,65
47,52,paracentral,left,31.32,66
36,41,Right-Amygdala,right,31.79,67
27,27,entorhinal,right,34.62,68
3,3,frontalpole,right,38.06,69
39,44,frontalpole,left,38.34,70
71,81,Left-Hippocampus,left,70.41,71
35,40,Right-Hippocampus,right,74.34,72
