RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
65,70,inferiortemporal,left,10.02,1
66,71,middletemporal,left,10.32,2
30,30,middletemporal,right,11.11,3
29,29,inferiortemporal,right,12.29,4
61,66,fusiform,left,14.15,5
55,60,inferiorparietal,left,14.82,6
25,25,fusiform,right,15.83,7
67,72,bankssts,left,16.07,8
68,73,superiortemporal,left,16.18,9
19,19,inferiorparietal,right,16.33,10
20,20,precuneus,right,16.67,11
56,61,precuneus,left,17.06,12
31,31,bankssts,right,17.12,13
62,67,parahippocampal,left,17.22,14
32,32,superiortemporal,right,17.7,15
54,59,superiorparietal,left,17.92,16
64,69,temporalpole,left,18.42,17
18,18,superiorparietal,right,18.76,18
51,56,isthmuscingulate,left,19.04,19
53,58,supramarginal,left,19.53,20
15,15,isthmuscingulate,right,20.02,21
26,26,parahippocampal,right,20.71,22
23,23,lateraloccipital,right,21.12,23
59,64,lateraloccipital,left,21.29,24
17,17,supramarginal,right,21.31,25
28,28,temporalpole,right,22.58,26
70,75,insula,left,22.9,27
37,42,lateralorbitofrontal,left,23.43,28
43,48,rostralmiddlefrontal,left,23.43,29
1,1,lateralorbitofrontal,right,24.22,30
63,68,entorhinal,left,24.72,31
7,7,rostralmiddlefrontal,right,24.93,32
42,47,parsopercularis,left,25.43,33
60,65,lingual,left,25.47,34
14,14,posteriorcingulate,right,25.8,35
34,34,insula,right,25.83,36
44,49,superiorfrontal,left,25.9,37
45,50,caudalmiddlefrontal,left,26.05,38
50,55,posteriorcingulate,left,26.25,39
52,57,postcentral,left,26.52,40
8,8,superiorfrontal,right,26.68,41
41,46,parstriangularis,left,26.72,42
72,82,Left-Amygdala,left,27.03,43
57,62,cuneus,left,27.54,44
4,4,medialorbitofrontal,right,27.6,45
58,63,pericalcarine,left,27.62,46
24,24,lingual,right,27.67,47
46,51,precentral,left,28.12,48
16,16,postcentral,right,28.21,49
48,53,rostralanteriorcingulate,left,29.04,50
5,5,parstriangularis,right,29.15,51
22,22,pericalcarine,right,29.26,52
12,12,rostralanteriorcingulate,right,29.38,53
38,43,parsorbitalis,left,29.38,54
21,21,cuneus,right,29.39,55
40,45,medialorbitofrontal,left,29.41,56
11,11,paracentral,right,29.42,57
69,74,transversetemporal,left,29.46,58
13,13,caudalanteriorcingulate,right,29.48,59
9,9,caudalmiddlefrontal,right,29.8,60
2,2,parsorbitalis,right,30.38,61
6,6,parsopercularis,right,30.6,62
49,54,caudalanteriorcingulate,left,31.24,63
10,10,precentral,right,31.77,64
33,33,transversetemporal,right,32.76,65
47,52,paracentral,left,32.94,66
36,41,Right-Amygdala,right,35.74,67
3,3,frontalpole,right,38.07,68
27,27,entorhinal,right,38.07,69
39,44,frontalpole,left,38.63,70
71,81,Left-Hippocampus,left,77.73,71
35,40,Right-Hippocampus,right,81.98,72
