RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,70,inferiortemporal,left,10.02,1
30,71,middletemporal,left,10.32,2
25,66,fusiform,left,14.15,3
19,60,inferiorparietal,left,14.95,4
31,72,bankssts,left,16.08,5
32,73,superiortemporal,left,16.26,6
26,67,parahippocampal,left,17.22,7
28,69,temporalpole,left,18.42,8
18,59,superiorparietal,left,18.69,9
20,61,precuneus,left,19.16,10
17,58,supramarginal,left,19.73,11
15,56,isthmuscingulate,left,19.76,12
23,64,lateraloccipital,left,21.29,13
34,75,insula,left,23.02,14
1,42,lateralorbitofrontal,left,23.52,15
7,48,rostralmiddlefrontal,left,24.08,16
27,68,entorhinal,left,24.72,17
24,65,lingual,left,25.47,18
6,47,parsopercularis,left,25.71,19
9,50,caudalmiddlefrontal,left,26.72,20
5,46,parstriangularis,left,26.99,21
16,57,postcentral,left,27.01,22
36,82,Left-Amygdala,left,27.03,23
22,63,pericalcarine,left,28.6,24
8,49,superiorfrontal,left,28.7,25
10,51,precentral,left,28.73,26
14,55,posteriorcingulate,left,29.0,27
21,62,cuneus,left,29.33,28
33,74,transversetemporal,left,29.57,29
2,43,parsorbitalis,left,29.58,30
4,45,medialorbitofrontal,left,31.95,31
12,53,rostralanteriorcingulate,left,32.16,32
13,54,caudalanteriorcingulate,left,34.66,33
11,52,paracentral,left,36.34,34
3,44,frontalpole,left,40.91,35
35,81,Left-Hippocampus,left,77.73,36
