RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
30,30,middletemporal,right,11.11,1
29,29,inferiortemporal,right,12.29,2
25,25,fusiform,right,15.83,3
19,19,inferiorparietal,right,16.49,4
31,31,bankssts,right,17.15,5
32,32,superiortemporal,right,17.85,6
20,20,precuneus,right,18.85,7
18,18,superiorparietal,right,19.63,8
26,26,parahippocampal,right,20.71,9
15,15,isthmuscingulate,right,21.04,10
23,23,lateraloccipital,right,21.12,11
17,17,supramarginal,right,21.65,12
28,28,temporalpole,right,22.58,13
1,1,lateralorbitofrontal,right,24.31,14
7,7,rostralmiddlefrontal,right,26.03,15
34,34,insula,right,26.07,16
24,24,lingual,right,27.67,17
14,14,posteriorcingulate,right,28.39,18
4,4,medialorbitofrontal,right,29.01,19
16,16,postcentral,right,29.08,20
5,5,parstriangularis,right,29.77,21
2,2,parsorbitalis,right,30.62,22
8,8,superiorfrontal,right,30.66,23
22,22,pericalcarine,right,30.94,24
6,6,parsopercularis,right,31.43,25
9,9,caudalmiddlefrontal,right,31.5,26
21,21,cuneus,right,31.56,27
12,12,rostralanteriorcingulate,right,31.96,28
13,13,caudalanteriorcingulate,right,32.4,29
11,11,paracentral,right,32.64,30
33,33,transversetemporal,right,33.0,31
10,10,precentral,right,33.27,32
36,41,Right-Amygdala,right,35.74,33
27,27,entorhinal,right,38.07,34
3,3,frontalpole,right,40.47,35
35,40,Right-Hippocampus,right,81.98,36
