DKTID,Seed,Hemisphere,Seed_prob,lobe
1,lateralorbitofrontal,right,0.0,frontal
2,parsorbitalis,right,0.0,frontal
4,medialorbitofrontal,right,0.0,frontal
5,parstriangularis,right,0.0,frontal
6,parsopercularis,right,0.0,frontal
8,superiorfrontal,right,0.0,frontal
9,caudalmiddlefrontal,right,0.0,frontal
10,precentral,right,0.0,frontal
11,paracentral,right,0.0,frontal
12,rostralanteriorcingulate,right,0.0,cingulate
13,caudalanteriorcingulate,right,0.0,cingulate
14,posteriorcingulate,right,0.0,cingulate
15,isthmuscingulate,right,0.0,cingulate
16,postcentral,right,0.0,parietal
17,supramarginal,right,0.0,parietal
18,superiorparietal,right,0.0,parietal
19,inferiorparietal,right,0.0,parietal
21,cuneus,right,0.0,occiptal
22,pericalcarine,right,0.0,occiptal
23,lateraloccipital,right,0.0,occiptal
24,lingual,right,0.0,occiptal
25,fusiform,right,0.0,temporal
26,parahippocampal,right,0.0,temporal
27,entorhinal,right,0.0,temporal
28,temporalpole,right,0.0,temporal
29,inferiortemporal,right,0.0,temporal
30,middletemporal,right,0.0,temporal
31,bankssts,right,0.0,temporal
32,superiortemporal,right,0.0,temporal
33,transversetemporal,right,0.0,temporal
34,insula,right,0.0,cingulate
40,Right-Hippocampus,right,0.0,temporal
41,Right-Amygdala,right,0.0,temporal
42,lateralorbitofrontal,left,0.0,frontal
43,parsorbitalis,left,0.0,frontal
44,frontalpole,left,0.0,frontal
45,medialorbitofrontal,left,0.0,frontal
46,parstriangularis,left,0.0,frontal
47,parsopercularis,left,0.0,frontal
49,superiorfrontal,left,0.0,frontal
50,caudalmiddlefrontal,left,0.0,frontal
51,precentral,left,0.0,frontal
52,paracentral,left,0.0,frontal
53,rostralanteriorcingulate,left,0.0,cingulate
54,caudalanteriorcingulate,left,0.0,cingulate
55,posteriorcingulate,left,0.0,cingulate
56,isthmuscingulate,left,0.0,cingulate
57,postcentral,left,0.0,parietal
58,supramarginal,left,0.0,parietal
59,superiorparietal,left,0.0,parietal
62,cuneus,left,0.0,occiptal
63,pericalcarine,left,0.0,occiptal
64,lateraloccipital,left,0.0,occiptal
65,lingual,left,0.0,occiptal
69,temporalpole,left,0.0,temporal
73,superiortemporal,left,0.0,temporal
74,transversetemporal,left,0.0,temporal
75,insula,left,0.0,cingulate
81,Left-Hippocampus,left,0.0,temporal
82,Left-Amygdala,left,0.0,temporal
3,frontalpole,right,0.0008665511265164644,frontal
7,rostralmiddlefrontal,right,0.0008665511265164644,frontal
68,entorhinal,left,0.0008665511265164644,temporal
72,bankssts,left,0.0008665511265164644,temporal
61,precuneus,left,0.0034662045060658577,parietal
20,precuneus,right,0.006932409012131715,parietal
48,rostralmiddlefrontal,left,0.006932409012131715,frontal
67,parahippocampal,left,0.012131715771230503,temporal
60,inferiorparietal,left,0.04246100519930676,parietal
66,fusiform,left,0.09012131715771231,temporal
71,middletemporal,left,0.1291161178509532,temporal
70,inferiortemporal,left,0.7053726169844021,temporal
