RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
65,70,inferiortemporal,left,16.43,16.43,1
31,31,bankssts,right,19.18,19.18,2
61,66,fusiform,left,19.63,19.63,3
67,72,bankssts,left,19.71,19.71,4
66,71,middletemporal,left,20.12,20.12,5
62,67,parahippocampal,left,20.27,20.27,6
29,29,inferiortemporal,right,20.65,20.65,7
63,68,entorhinal,left,21.03,20.9,8
55,60,inferiorparietal,left,22.29,22.29,9
30,30,middletemporal,right,22.53,22.53,10
25,25,fusiform,right,22.77,22.77,11
26,26,parahippocampal,right,23.99,23.99,12
68,73,superiortemporal,left,24.26,24.26,13
72,82,Left-Amygdala,left,24.6,24.6,14
59,64,lateraloccipital,left,24.79,24.79,15
19,19,inferiorparietal,right,24.87,24.87,16
64,69,temporalpole,left,24.91,24.91,17
53,58,supramarginal,left,25.51,25.51,18
54,59,superiorparietal,left,25.88,25.88,19
32,32,superiortemporal,right,26.48,26.48,20
56,61,precuneus,left,27.01,27.01,21
60,65,lingual,left,27.03,27.03,22
20,20,precuneus,right,27.12,27.12,23
17,17,supramarginal,right,27.54,27.54,24
18,18,superiorparietal,right,27.9,27.9,25
23,23,lateraloccipital,right,28.44,28.44,26
28,28,temporalpole,right,29.04,29.04,27
51,56,isthmuscingulate,left,29.89,29.89,28
36,41,Right-Amygdala,right,30.22,29.89,29
70,75,insula,left,30.33,30.33,30
15,15,isthmuscingulate,right,30.79,30.79,31
24,24,lingual,right,31.1,31.1,32
43,48,rostralmiddlefrontal,left,31.24,31.24,33
52,57,postcentral,left,31.56,31.56,34
42,47,parsopercularis,left,32.37,32.37,35
27,27,entorhinal,right,32.41,27.81,36
37,42,lateralorbitofrontal,left,32.41,32.41,37
45,50,caudalmiddlefrontal,left,33.33,33.33,38
7,7,rostralmiddlefrontal,right,33.54,33.54,39
34,34,insula,right,33.64,33.64,40
16,16,postcentral,right,34.12,34.12,41
44,49,superiorfrontal,left,34.17,34.17,42
41,46,parstriangularis,left,34.26,34.26,43
14,14,posteriorcingulate,right,34.37,34.37,44
46,51,precentral,left,34.52,34.52,45
50,55,posteriorcingulate,left,34.67,34.67,46
57,62,cuneus,left,34.79,34.79,47
1,1,lateralorbitofrontal,right,34.83,34.83,48
8,8,superiorfrontal,right,35.31,35.31,49
21,21,cuneus,right,35.45,35.45,50
69,74,transversetemporal,left,35.72,35.72,51
58,63,pericalcarine,left,36.49,36.49,52
38,43,parsorbitalis,left,36.6,36.6,53
5,5,parstriangularis,right,36.91,36.91,54
11,11,paracentral,right,37.35,37.35,55
48,53,rostralanteriorcingulate,left,37.52,37.52,56
9,9,caudalmiddlefrontal,right,37.59,37.59,57
6,6,parsopercularis,right,37.88,37.88,58
40,45,medialorbitofrontal,left,37.88,37.88,59
12,12,rostralanteriorcingulate,right,37.92,37.92,60
13,13,caudalanteriorcingulate,right,38.01,38.01,61
4,4,medialorbitofrontal,right,38.05,38.05,62
10,10,precentral,right,38.38,38.38,63
2,2,parsorbitalis,right,38.45,38.45,64
33,33,transversetemporal,right,38.63,38.63,65
22,22,pericalcarine,right,38.77,38.77,66
49,54,caudalanteriorcingulate,left,39.41,39.41,67
47,52,paracentral,left,39.89,39.89,68
3,3,frontalpole,right,45.6,45.6,69
39,44,frontalpole,left,45.79,45.79,70
71,81,Left-Hippocampus,left,52.97,26.03,71
35,40,Right-Hippocampus,right,55.93,30.08,72
