RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
29,70,inferiortemporal,left,16.44,16.44,1
25,66,fusiform,left,19.64,19.64,2
31,72,bankssts,left,19.72,19.72,3
30,71,middletemporal,left,20.14,20.14,4
26,67,parahippocampal,left,20.28,20.28,5
27,68,entorhinal,left,21.03,20.9,6
19,60,inferiorparietal,left,22.41,22.41,7
32,73,superiortemporal,left,24.33,24.33,8
36,82,Left-Amygdala,left,24.61,24.61,9
28,69,temporalpole,left,24.92,24.92,10
23,64,lateraloccipital,left,24.96,24.96,11
17,58,supramarginal,left,25.66,25.66,12
18,59,superiorparietal,left,26.53,26.53,13
24,65,lingual,left,27.3,27.3,14
20,61,precuneus,left,29.31,29.31,15
34,75,insula,left,30.46,30.46,16
15,56,isthmuscingulate,left,31.0,31.0,17
7,48,rostralmiddlefrontal,left,31.92,31.92,18
16,57,postcentral,left,31.95,31.95,19
1,42,lateralorbitofrontal,left,32.54,32.54,20
6,47,parsopercularis,left,32.63,32.63,21
9,50,caudalmiddlefrontal,left,33.99,33.99,22
5,46,parstriangularis,left,34.53,34.53,23
10,51,precentral,left,35.05,35.05,24
33,74,transversetemporal,left,35.83,35.83,25
21,62,cuneus,left,36.71,36.71,26
2,43,parsorbitalis,left,36.81,36.81,27
8,49,superiorfrontal,left,36.89,36.89,28
14,55,posteriorcingulate,left,37.67,37.67,29
22,63,pericalcarine,left,37.72,37.72,30
4,45,medialorbitofrontal,left,40.26,40.26,31
12,53,rostralanteriorcingulate,left,40.81,40.81,32
13,54,caudalanteriorcingulate,left,42.99,42.99,33
11,52,paracentral,left,43.24,43.24,34
3,44,frontalpole,left,47.77,47.77,35
35,81,Left-Hippocampus,left,52.97,26.19,36
