RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
31,31,bankssts,right,19.18,19.18,1
29,29,inferiortemporal,right,20.67,20.67,2
30,30,middletemporal,right,22.59,22.59,3
25,25,fusiform,right,22.8,22.8,4
26,26,parahippocampal,right,24.02,24.02,5
19,19,inferiorparietal,right,25.07,25.07,6
32,32,superiortemporal,right,26.66,26.66,7
17,17,supramarginal,right,27.84,27.84,8
23,23,lateraloccipital,right,28.67,28.67,9
18,18,superiorparietal,right,28.97,28.97,10
28,28,temporalpole,right,29.07,29.07,11
36,41,Right-Amygdala,right,30.22,29.95,12
20,20,precuneus,right,30.33,30.33,13
24,24,lingual,right,31.76,31.76,14
27,27,entorhinal,right,32.41,27.85,15
15,15,isthmuscingulate,right,32.69,32.69,16
34,34,insula,right,33.94,33.94,17
16,16,postcentral,right,34.97,34.97,18
7,7,rostralmiddlefrontal,right,35.01,35.01,19
1,1,lateralorbitofrontal,right,35.06,35.06,20
5,5,parstriangularis,right,37.66,37.66,21
14,14,posteriorcingulate,right,37.79,37.79,22
21,21,cuneus,right,38.32,38.32,23
2,2,parsorbitalis,right,38.8,38.8,24
6,6,parsopercularis,right,38.8,38.8,25
33,33,transversetemporal,right,38.88,38.88,26
9,9,caudalmiddlefrontal,right,39.55,39.55,27
10,10,precentral,right,39.9,39.9,28
8,8,superiorfrontal,right,40.04,40.04,29
4,4,medialorbitofrontal,right,40.96,40.96,30
22,22,pericalcarine,right,41.23,41.23,31
11,11,paracentral,right,41.34,41.34,32
12,12,rostralanteriorcingulate,right,41.56,41.56,33
13,13,caudalanteriorcingulate,right,41.82,41.82,34
3,3,frontalpole,right,48.6,48.6,35
35,40,Right-Hippocampus,right,55.93,30.49,36
