RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
3,3,frontalpole,right,8.89,1
39,44,frontalpole,left,8.95,2
7,7,rostralmiddlefrontal,right,10.34,3
43,48,rostralmiddlefrontal,left,10.36,4
56,61,precuneus,left,10.36,5
14,14,posteriorcingulate,right,10.66,6
4,4,medialorbitofrontal,right,10.7,7
20,20,precuneus,right,10.78,8
40,45,medialorbitofrontal,left,10.99,9
50,55,posteriorcingulate,left,11.1,10
13,13,caudalanteriorcingulate,right,11.14,11
38,43,parsorbitalis,left,11.31,12
44,49,superiorfrontal,left,11.48,13
8,8,superiorfrontal,right,11.83,14
49,54,caudalanteriorcingulate,left,11.91,15
2,2,parsorbitalis,right,12.18,16
55,60,inferiorparietal,left,12.18,17
12,12,rostralanteriorcingulate,right,12.35,18
48,53,rostralanteriorcingulate,left,12.39,19
41,46,parstriangularis,left,12.43,20
19,19,inferiorparietal,right,12.96,21
67,72,bankssts,left,13.0,22
42,47,parsopercularis,left,13.15,23
45,50,caudalmiddlefrontal,left,13.19,24
31,31,bankssts,right,13.36,25
5,5,parstriangularis,right,13.51,26
37,42,lateralorbitofrontal,left,13.57,27
9,9,caudalmiddlefrontal,right,13.94,28
53,58,supramarginal,left,14.04,29
51,56,isthmuscingulate,left,14.11,30
1,1,lateralorbitofrontal,right,14.32,31
15,15,isthmuscingulate,right,14.36,32
6,6,parsopercularis,right,14.74,33
66,71,middletemporal,left,15.13,34
17,17,supramarginal,right,15.15,35
30,30,middletemporal,right,15.48,36
54,59,superiorparietal,left,15.78,37
29,29,inferiortemporal,right,16.09,38
65,70,inferiortemporal,left,16.23,39
18,18,superiorparietal,right,17.54,40
68,73,superiortemporal,left,18.45,41
32,32,superiortemporal,right,19.49,42
70,75,insula,left,19.65,43
34,34,insula,right,20.74,44
11,11,paracentral,right,20.97,45
69,74,transversetemporal,left,21.73,46
47,52,paracentral,left,22.14,47
61,66,fusiform,left,22.51,48
25,25,fusiform,right,23.1,49
33,33,transversetemporal,right,25.93,50
16,16,postcentral,right,27.64,51
52,57,postcentral,left,28.01,52
10,10,precentral,right,29.3,53
62,67,parahippocampal,left,29.54,54
46,51,precentral,left,29.6,55
26,26,parahippocampal,right,30.21,56
64,69,temporalpole,left,30.81,57
28,28,temporalpole,right,30.82,58
23,23,lateraloccipital,right,30.97,59
22,22,pericalcarine,right,31.09,60
59,64,lateraloccipital,left,32.35,61
58,63,pericalcarine,left,33.72,62
57,62,cuneus,left,39.21,63
24,24,lingual,right,41.55,64
60,65,lingual,left,41.79,65
21,21,cuneus,right,44.27,66
72,82,Left-Amygdala,left,44.55,67
63,68,entorhinal,left,44.85,68
36,41,Right-Amygdala,right,46.34,69
27,27,entorhinal,right,58.89,70
35,40,Right-Hippocampus,right,121.24,71
71,81,Left-Hippocampus,left,122.39,72
