RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
3,44,frontalpole,left,8.95,1
2,43,parsorbitalis,left,11.31,2
4,45,medialorbitofrontal,left,11.32,3
7,48,rostralmiddlefrontal,left,11.39,4
14,55,posteriorcingulate,left,11.48,5
20,61,precuneus,left,12.11,6
19,60,inferiorparietal,left,12.18,7
13,54,caudalanteriorcingulate,left,12.33,8
5,46,parstriangularis,left,12.43,9
31,72,bankssts,left,13.0,10
6,47,parsopercularis,left,13.15,11
9,50,caudalmiddlefrontal,left,13.19,12
1,42,lateralorbitofrontal,left,13.57,13
17,58,supramarginal,left,14.04,14
15,56,isthmuscingulate,left,14.11,15
8,49,superiorfrontal,left,14.18,16
12,53,rostralanteriorcingulate,left,14.18,17
30,71,middletemporal,left,15.13,18
18,59,superiorparietal,left,15.78,19
29,70,inferiortemporal,left,16.23,20
32,73,superiortemporal,left,18.45,21
34,75,insula,left,19.65,22
33,74,transversetemporal,left,21.73,23
11,52,paracentral,left,22.14,24
25,66,fusiform,left,22.51,25
16,57,postcentral,left,28.01,26
26,67,parahippocampal,left,29.54,27
10,51,precentral,left,29.6,28
28,69,temporalpole,left,30.81,29
23,64,lateraloccipital,left,32.35,30
22,63,pericalcarine,left,33.72,31
21,62,cuneus,left,39.21,32
24,65,lingual,left,41.79,33
36,82,Left-Amygdala,left,44.55,34
27,68,entorhinal,left,44.85,35
35,81,Left-Hippocampus,left,122.39,36
