RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
3,3,frontalpole,right,8.89,1
4,4,medialorbitofrontal,right,11.26,2
7,7,rostralmiddlefrontal,right,11.26,3
14,14,posteriorcingulate,right,11.51,4
20,20,precuneus,right,11.96,5
2,2,parsorbitalis,right,12.18,6
13,13,caudalanteriorcingulate,right,12.25,7
19,19,inferiorparietal,right,12.96,8
31,31,bankssts,right,13.36,9
5,5,parstriangularis,right,13.51,10
12,12,rostralanteriorcingulate,right,13.8,11
9,9,caudalmiddlefrontal,right,13.94,12
8,8,superiorfrontal,right,14.3,13
1,1,lateralorbitofrontal,right,14.32,14
15,15,isthmuscingulate,right,14.36,15
6,6,parsopercularis,right,14.74,16
17,17,supramarginal,right,15.15,17
30,30,middletemporal,right,15.48,18
29,29,inferiortemporal,right,16.09,19
18,18,superiorparietal,right,17.54,20
32,32,superiortemporal,right,19.49,21
34,34,insula,right,20.74,22
11,11,paracentral,right,20.97,23
25,25,fusiform,right,23.1,24
33,33,transversetemporal,right,25.93,25
16,16,postcentral,right,27.64,26
10,10,precentral,right,29.3,27
26,26,parahippocampal,right,30.21,28
28,28,temporalpole,right,30.82,29
23,23,lateraloccipital,right,30.97,30
22,22,pericalcarine,right,31.09,31
24,24,lingual,right,41.55,32
21,21,cuneus,right,44.27,33
36,41,Right-Amygdala,right,46.34,34
27,27,entorhinal,right,58.89,35
35,40,Right-Hippocampus,right,121.24,36
