DKTID,Seed,Hemisphere,Seed_prob,lobe
46,parstriangularis,left,0.0,frontal
47,parsopercularis,left,0.0,frontal
49,superiorfrontal,left,0.0,frontal
50,caudalmiddlefrontal,left,0.0,frontal
51,precentral,left,0.0,frontal
52,paracentral,left,0.0,frontal
53,rostralanteriorcingulate,left,0.0,cingulate
54,caudalanteriorcingulate,left,0.0,cingulate
55,posteriorcingulate,left,0.0,cingulate
56,isthmuscingulate,left,0.0,cingulate
57,postcentral,left,0.0,parietal
58,supramarginal,left,0.0,parietal
59,superiorparietal,left,0.0,parietal
60,inferiorparietal,left,0.0,parietal
62,cuneus,left,0.0,occiptal
63,pericalcarine,left,0.0,occiptal
64,lateraloccipital,left,0.0,occiptal
65,lingual,left,0.0,occiptal
66,fusiform,left,0.0,temporal
67,parahippocampal,left,0.0,temporal
68,entorhinal,left,0.0,temporal
69,temporalpole,left,0.0,temporal
71,middletemporal,left,0.0,temporal
73,superiortemporal,left,0.0,temporal
74,transversetemporal,left,0.0,temporal
75,insula,left,0.0,cingulate
81,Left-Hippocampus,left,0.0,temporal
82,Left-Amygdala,left,0.0,temporal
42,lateralorbitofrontal,left,0.0005927682276229994,frontal
43,parsorbitalis,left,0.0011855364552459987,frontal
70,inferiortemporal,left,0.0011855364552459987,temporal
72,bankssts,left,0.002963841138114997,temporal
45,medialorbitofrontal,left,0.0035566093657379964,frontal
44,frontalpole,left,0.03615886188500297,frontal
48,rostralmiddlefrontal,left,0.4161232957913456,frontal
61,precuneus,left,0.5382335506816834,parietal
