RegionID,DKTID,Region,Hemisphere,Coloc_time,tau_time,Order
62,67,parahippocampal,left,27.64,27.64,1
65,70,inferiortemporal,left,28.06,28.06,2
61,66,fusiform,left,28.56,28.56,3
64,69,temporalpole,left,32.43,31.19,4
66,71,middletemporal,left,32.49,32.49,5
29,29,inferiortemporal,right,32.82,32.82,6
25,25,fusiform,right,32.88,32.88,7
26,26,parahippocampal,right,33.21,33.21,8
55,60,inferiorparietal,left,34.78,34.78,9
20,20,precuneus,right,35.35,35.35,10
59,64,lateraloccipital,left,35.46,35.46,11
56,61,precuneus,left,35.53,35.53,12
63,68,entorhinal,left,35.94,24.79,13
51,56,isthmuscingulate,left,36.07,36.07,14
15,15,isthmuscingulate,right,36.49,36.49,15
67,72,bankssts,left,36.66,36.66,16
54,59,superiorparietal,left,36.77,36.77,17
68,73,superiortemporal,left,36.84,36.84,18
30,30,middletemporal,right,37.16,37.16,19
53,58,supramarginal,left,38.36,38.36,20
19,19,inferiorparietal,right,39.02,39.02,21
18,18,superiorparietal,right,39.55,39.55,22
28,28,temporalpole,right,39.61,36.99,23
31,31,bankssts,right,39.91,39.91,24
23,23,lateraloccipital,right,40.44,40.44,25
60,65,lingual,left,40.57,35.23,26
14,14,posteriorcingulate,right,40.66,40.66,27
50,55,posteriorcingulate,left,41.12,41.12,28
32,32,superiortemporal,right,41.15,41.15,29
70,75,insula,left,41.55,41.55,30
37,42,lateralorbitofrontal,left,42.34,42.34,31
17,17,supramarginal,right,42.46,42.46,32
43,48,rostralmiddlefrontal,left,42.65,42.65,33
57,62,cuneus,left,43.02,43.02,34
52,57,postcentral,left,43.45,43.45,35
44,49,superiorfrontal,left,43.8,43.8,36
21,21,cuneus,right,43.93,43.93,37
72,82,Left-Amygdala,left,43.93,29.39,38
42,47,parsopercularis,left,43.95,43.95,39
24,24,lingual,right,44.09,40.16,40
48,53,rostralanteriorcingulate,left,44.38,44.38,41
58,63,pericalcarine,left,44.49,44.49,42
45,50,caudalmiddlefrontal,left,44.58,44.58,43
8,8,superiorfrontal,right,44.6,44.6,44
12,12,rostralanteriorcingulate,right,44.79,44.79,45
13,13,caudalanteriorcingulate,right,45.04,45.04,46
11,11,paracentral,right,45.12,45.12,47
7,7,rostralmiddlefrontal,right,45.17,45.17,48
41,46,parstriangularis,left,45.48,45.48,49
40,45,medialorbitofrontal,left,45.66,45.66,50
46,51,precentral,left,45.71,45.71,51
1,1,lateralorbitofrontal,right,45.76,45.76,52
4,4,medialorbitofrontal,right,45.85,45.85,53
49,54,caudalanteriorcingulate,left,46.59,46.59,54
34,34,insula,right,46.6,46.6,55
38,43,parsorbitalis,left,46.91,46.91,56
69,74,transversetemporal,left,47.13,47.13,57
16,16,postcentral,right,47.2,47.2,58
22,22,pericalcarine,right,47.21,47.21,59
47,52,paracentral,left,47.62,47.62,60
9,9,caudalmiddlefrontal,right,48.5,48.5,61
5,5,parstriangularis,right,48.94,48.94,62
10,10,precentral,right,49.83,49.83,63
6,6,parsopercularis,right,50.09,50.09,64
2,2,parsorbitalis,right,50.3,50.3,65
33,33,transversetemporal,right,51.73,51.73,66
39,44,frontalpole,left,54.82,54.82,67
3,3,frontalpole,right,55.21,55.21,68
27,27,entorhinal,right,55.43,35.53,69
36,41,Right-Amygdala,right,57.98,37.43,70
71,81,Left-Hippocampus,left,97.75,33.86,71
35,40,Right-Hippocampus,right,103.18,39.9,72
