RegionID,DKTID,Region,Hemisphere,Coloc_time,Order
29,29,inferiortemporal,right,28.37,1
30,30,middletemporal,right,31.92,2
15,15,isthmuscingulate,right,32.53,3
19,19,inferiorparietal,right,33.57,4
20,20,precuneus,right,34.57,5
18,18,superiorparietal,right,34.7,6
31,31,bankssts,right,35.45,7
32,32,superiortemporal,right,36.05,8
17,17,supramarginal,right,37.14,9
25,25,fusiform,right,39.27,10
14,14,posteriorcingulate,right,39.69,11
1,1,lateralorbitofrontal,right,39.85,12
34,34,insula,right,40.08,13
7,7,rostralmiddlefrontal,right,40.11,14
13,13,caudalanteriorcingulate,right,41.92,15
9,9,caudalmiddlefrontal,right,42.06,16
5,5,parstriangularis,right,42.08,17
11,11,paracentral,right,42.09,18
6,6,parsopercularis,right,42.47,19
8,8,superiorfrontal,right,42.65,20
2,2,parsorbitalis,right,43.25,21
12,12,rostralanteriorcingulate,right,43.81,22
4,4,medialorbitofrontal,right,43.9,23
33,33,transversetemporal,right,45.5,24
16,16,postcentral,right,48.91,25
3,3,frontalpole,right,49.42,26
22,22,pericalcarine,right,50.84,27
28,28,temporalpole,right,51.57,28
10,10,precentral,right,51.62,29
26,26,parahippocampal,right,51.77,30
23,23,lateraloccipital,right,53.03,31
24,24,lingual,right,67.04,32
21,21,cuneus,right,71.0,33
36,41,Right-Amygdala,right,73.33,34
27,27,entorhinal,right,94.35,35
35,40,Right-Hippocampus,right,186.12,36
