,region,C0_mean,C1_mean,C0_cov,C1_cov,w0,w1
0,25.0,1.1668476762261935,1.2020515871453903,0.003668677481256036,0.013374381065756976,0.6933109592426988,0.30668904075730125
1,26.0,1.075120234704767,1.1259365583295537,0.004362412880561058,0.014012684407901136,0.6426039716900058,0.357396028309994
2,27.0,1.1174175196109857,1.2703457736500083,0.008215840932330498,0.045314574102811186,0.8187726462407674,0.1812273537592326
3,28.0,1.0873867760483997,1.1410704109614846,0.0058810270757018645,0.017509727188650088,0.5684307367230355,0.4315692632769646
4,29.0,1.1907443863993543,1.227414474244005,0.004032509717915351,0.012761977099437249,0.635518210564291,0.3644817894357089
6,31.0,1.1692729626522216,1.1975700958209525,0.004394731937892492,0.017149719542659148,0.6062200067592644,0.3937799932407356
9,35.0,1.1940674009882442,1.2662361781753761,0.00956757170955734,0.03371519522793692,0.6798319241194477,0.3201680758805524
10,36.0,1.174118572627267,1.2374226170918858,0.008152703345400499,0.03876014892886553,0.6718506672719362,0.3281493327280638
12,62.0,1.0884708693300567,1.1459657196167006,0.004719799170792003,0.03358167857928021,0.8126545480598706,0.18734545194012936
13,63.0,1.1106589856224773,1.246658098284857,0.007378834654747636,0.04697845197806791,0.8024740704450611,0.19752592955493894
14,64.0,1.1064789113082216,1.2535144254425366,0.008234025920404807,0.07035089454768695,0.917367210617839,0.08263278938216094
20,71.0,1.186703388000737,1.3043116122451932,0.010838635515314044,0.02818770262922909,0.718740767039483,0.28125923296051697
21,72.0,1.1724568675133875,1.254617772782684,0.010027914890817743,0.043610856769834186,0.7332553159138622,0.26674468408613794
